Element,Wt%,Sigma
C,6,0.96
C,3.02,1.09
C,6.73,1.11
C,3.54,0.97
C,5.53,1.1
C,4.73,0.87
C,4.32,0.98
C,4.43,0.95
C,7.14,1.91
C,3.18,0.89
C,5.09,0.97
C,4.4,0.96
Al,6.08,0.29
Al,8.29,0.39
Al,8.66,0.34
Al,6.43,0.31
Al,10.11,0.35
Al,7.75,0.32
Al,7.46,0.32
Al,10.29,0.35
Al,8.8,0.32
Al,8.25,0.34
Al,7.18,0.32
Al,6.65,0.31
Al,6.23,0.29
Al,6.91,0.32
Al,6.99,0.3
Al,7.24,0.31
Al,6.08,0.29
Al,6.86,0.31
Al,7.12,0.34
Al,6.98,0.32
S,0.48,0.14
S,0.57,0.14
S,0.6,0.15
S,0.45,0.15
Cr,6.73,0.29
Cr,8.07,0.33
Cr,7.82,0.3
Cr,7.4,0.3
Cr,8.08,0.3
Cr,7.61,0.3
Cr,7.54,0.3
Cr,8.91,0.3
Cr,7.46,0.28
Cr,8.43,0.3
Cr,7.67,0.31
Cr,7.31,0.31
Cr,6.7,0.28
Cr,7.24,0.29
Cr,6.98,0.28
Cr,6.98,0.29
Cr,7.51,0.3
Cr,7.47,0.3
Cr,6.74,0.3
Cr,6.72,0.29
Co,7.02,0.38
Co,9.13,0.47
Co,8.63,0.43
Co,7.32,0.39
Co,8.45,0.41
Co,8.74,0.41
Co,7.58,0.41
Co,8.98,0.41
Co,9.25,0.4
Co,9.32,0.43
Co,8.13,0.4
Co,7.31,0.39
Co,6.74,0.37
Co,8.1,0.4
Co,7.48,0.38
Co,7.97,0.4
Co,8.32,0.4
Co,6.82,0.37
Co,7.09,0.4
Co,6.88,0.37
Ni,61.26,1.42
Ni,74.51,0.62
Ni,71.87,0.97
Ni,61.86,1.37
Ni,66.63,0.95
Ni,68.35,1.14
Ni,68.25,1.31
Ni,71.82,0.55
Ni,74.49,0.52
Ni,74,0.56
Ni,63.96,1.34
Ni,62.36,1.46
Ni,62.47,1.31
Ni,64.79,1.29
Ni,64.32,1.23
Ni,66.66,1.26
Ni,62.83,1.45
Ni,61.62,1.32
Ni,62.49,1.42
Ni,62.84,1.37
Ta,6.22,1.07
Ta,6.15,1.13
Ta,7.62,1.08
Ta,6.52,1.13
Ta,6.94,1.09
Ta,5,1.16
Ta,6.24,1.11
W,7.19,1.28
W,7.56,1.38
W,5.63,1.38
W,4.54,1.3
W,4.91,1.28
W,5.51,1.23
W,5.83,1.31
W,5.55,1.25
W,6.73,1.34
W,6.65,1.24
W,6.46,1.32
W,5.93,1.27
Re,3.65,0.95
Re,2.29,0.93
Re,0.93,0.93
Si,1.53,0.42
Si,1.72,0.41
Si,2.92,0.25
Rb,3.2,0.81
Rb,2.7,0.78
Rb,4.37,0.53
Mo,1.49,0.43
Mo,1.26,0.4
Sr,3.93,0.52
